1780685378.579753 server started (67287): version 3.6b, socket /private/tmp/tmux-501/default, protocol 8
1780685378.579765 on Darwin 25.5.0 Darwin Kernel Version 25.5.0: Mon Apr 27 20:41:26 PDT 2026; root:xnu-12377.121.6~2/RELEASE_ARM64_T8132
1780685378.579771 using libevent 2.1.12-stable select
1780685378.579775 using utf8proc 2.11.3
1780685378.579777 using ncurses 6.6 20251230
1780685378.579830 input_key_build: 0x10e003 (PasteStart) is \033[200~
1780685378.579833 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1780685378.579842 input_key_build: 0x10e25b (F1) is \033OP
1780685378.579845 input_key_build: 0x10e25c (F2) is \033OQ
1780685378.579847 input_key_build: 0x10e25d (F3) is \033OR
1780685378.579849 input_key_build: 0x10e25e (F4) is \033OS
1780685378.579851 input_key_build: 0x10e25f (F5) is \033[15~
1780685378.579853 input_key_build: 0x10e260 (F6) is \033[17~
1780685378.579855 input_key_build: 0x10e261 (F7) is \033[18~
1780685378.579857 input_key_build: 0x10e262 (F8) is \033[19~
1780685378.579859 input_key_build: 0x10e263 (F9) is \033[20~
1780685378.579861 input_key_build: 0x10e264 (F10) is \033[21~
1780685378.579864 input_key_build: 0x10e265 (F11) is \033[23~
1780685378.579866 input_key_build: 0x10e266 (F12) is \033[24~
1780685378.579868 input_key_build: 0x10e267 (IC) is \033[2~
1780685378.579870 input_key_build: 0x10e268 (DC) is \033[3~
1780685378.579872 input_key_build: 0x10e269 (Home) is \033[1~
1780685378.579874 input_key_build: 0x10e26a (End) is \033[4~
1780685378.579876 input_key_build: 0x10e26b (NPage) is \033[6~
1780685378.579878 input_key_build: 0x10e26c (PPage) is \033[5~
1780685378.579880 input_key_build: 0x10e26d (BTab) is \033[Z
1780685378.579882 input_key_build: 0x10e26e (Up) is \033[A
1780685378.579884 input_key_build: 0x10e26f (Down) is \033[B
1780685378.579886 input_key_build: 0x10e270 (Left) is \033[D
1780685378.579889 input_key_build: 0x10e271 (Right) is \033[C
1780685378.579891 input_key_build: 0x10e272 (KP/) is /
1780685378.579893 input_key_build: 0x10e273 (KP*) is *
1780685378.579895 input_key_build: 0x10e274 (KP-) is -
1780685378.579897 input_key_build: 0x10e275 (KP7) is 7
1780685378.579899 input_key_build: 0x10e276 (KP8) is 8
1780685378.579901 input_key_build: 0x10e277 (KP9) is 9
1780685378.579903 input_key_build: 0x10e278 (KP+) is +
1780685378.579905 input_key_build: 0x10e279 (KP4) is 4
1780685378.579907 input_key_build: 0x10e27a (KP5) is 5
1780685378.579909 input_key_build: 0x10e27b (KP6) is 6
1780685378.579911 input_key_build: 0x10e27c (KP1) is 1
1780685378.579912 input_key_build: 0x10e27d (KP2) is 2
1780685378.579914 input_key_build: 0x10e27e (KP3) is 3
1780685378.579916 input_key_build: 0x10e27f (KPEnter) is \n
1780685378.579919 input_key_build: 0x10e280 (KP0) is 0
1780685378.579921 input_key_build: 0x10e281 (KP.) is .
1780685378.579924 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1780685378.579926 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1780685378.579929 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1780685378.579931 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1780685378.579933 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1780685378.579935 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1780685378.579937 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1780685378.579940 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1780685378.579942 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1780685378.579944 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1780685378.579946 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1780685378.579948 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1780685378.579950 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1780685378.579952 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1780685378.579955 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1780685378.579958 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1780685378.579960 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1780685378.579962 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1780685378.579964 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1780685378.579969 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1780685378.579971 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1780685378.579973 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1780685378.579974 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1780685378.579976 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1780685378.579978 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1780685378.579979 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1780685378.579981 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1780685378.579982 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1780685378.579984 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1780685378.579986 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1780685378.579987 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1780685378.579989 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1780685378.579991 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1780685378.579992 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1780685378.579994 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1780685378.579995 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1780685378.579997 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1780685378.579999 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1780685378.580000 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1780685378.580002 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1780685378.580004 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1780685378.580005 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1780685378.580007 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1780685378.580008 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1780685378.580010 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1780685378.580012 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1780685378.580013 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1780685378.580015 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1780685378.580016 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1780685378.580018 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1780685378.580020 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1780685378.580021 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1780685378.580023 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1780685378.580024 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1780685378.580026 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1780685378.580028 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1780685378.580029 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1780685378.580031 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1780685378.580033 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1780685378.580034 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1780685378.580036 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1780685378.580038 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1780685378.580039 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1780685378.580041 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1780685378.580042 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1780685378.580044 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1780685378.580046 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1780685378.580047 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1780685378.580049 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1780685378.580051 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1780685378.580053 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1780685378.580054 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1780685378.580056 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1780685378.580057 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1780685378.580059 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1780685378.580063 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1780685378.580064 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1780685378.580066 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1780685378.580068 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
